------------------------------------------------------------------
          COSMO v0.8.5 - A Quadratic Objective Conic Solver
                         Michael Garstka
                University of Oxford, 2017 - 2022
------------------------------------------------------------------

Problem:  x ∈ R^{2868},
          constraints: A ∈ R^{5531x2868} (14910 nnz),
          matrix size to factor: 8399x8399,
          Floating-point precision: Float64
Sets:     ZeroSet of dim: 2903
          DensePsdConeTriangle of dim: 2628 (72x72)
Settings: ϵ_abs = 1.0e-05, ϵ_rel = 1.0e-05,
          ϵ_prim_inf = 1.0e-04, ϵ_dual_inf = 1.0e-04,
          ρ = 0.1, σ = 1e-06, α = 1.6,
          max_iter = 1000000,
          scaling iter = 10 (on),
          check termination every 25 iter,
          check infeasibility every 40 iter,
          KKT system solver: QDLDL
Acc:      Anderson Type2{QRDecomp},
          Memory size = 15, RestartedMemory,	
          Safeguarded: true, tol: 2.0
Setup Time: 858.53ms

Iter:	Objective:	Primal Res:	Dual Res:	Rho:
1	-2.3916e-04	1.8060e+02	4.8233e+00	1.0000e-01
25	 2.8327e-01	1.7112e+01	2.0837e+00	1.0000e-01
50	 4.7158e-01	2.2489e+02	1.4797e+00	9.0127e-03
75	 1.1962e+00	7.3537e+01	9.4493e-01	9.0127e-03
100	 7.7266e+00	6.1388e+02	8.3218e-01	6.0261e-04
125	 1.0746e+01	7.4270e+02	5.3964e-01	6.0261e-04
150	 8.1342e+01	5.6238e+03	1.0718e+00	3.8243e-05
175	 3.4318e+02	3.1001e+04	5.3049e+00	2.2861e-06
200	 1.1439e+03	5.3708e+04	6.1225e+00	2.2861e-06
225	 1.3020e+03	5.7729e+04	4.5949e+00	2.2861e-06
250	 8.5572e+02	5.7577e+04	2.4280e+00	2.2861e-06
275	 6.4998e+02	5.6378e+04	2.1051e+00	2.2861e-06
300	 5.1504e+02	4.5074e+04	7.7112e-01	2.2861e-06
325	 4.9837e+02	5.0127e+04	1.1002e+00	2.2861e-06
350	 4.4098e+02	3.6905e+04	2.1492e+00	2.2861e-06
375	 4.1961e+02	3.6022e+04	2.5989e+00	2.2861e-06
400	 3.9765e+02	4.3218e+04	3.3074e+00	2.2861e-06
425	 3.3634e+02	6.2516e+04	2.9796e+00	2.2861e-06
450	 3.0432e+02	3.8338e+04	2.7007e+00	2.2861e-06
475	 3.3004e+02	1.8702e+04	1.6003e+00	2.2861e-06
500	 3.1963e+02	1.9417e+04	1.2669e+00	2.2861e-06
525	 2.7746e+02	3.4303e+04	9.8284e-01	2.2861e-06
550	 3.0899e+02	3.0937e+04	6.2168e-01	2.2861e-06
575	 2.8902e+02	1.1147e+04	5.8678e-01	2.2861e-06
600	 2.8641e+02	9.1822e+03	2.2055e-01	2.2861e-06
625	 2.9202e+02	8.0117e+03	2.0825e-01	2.2861e-06
650	 3.0888e+02	6.8964e+03	2.2130e-01	2.2861e-06
675	 2.9988e+02	6.2565e+03	1.8686e-01	2.2861e-06
700	 3.0398e+02	5.6453e+03	2.2655e-01	2.2861e-06
725	 3.1478e+02	5.2280e+03	2.1159e-01	2.2861e-06
750	 3.2639e+02	4.4081e+03	3.1602e-01	2.2861e-06
775	 3.2744e+02	4.1042e+03	3.5594e-01	2.2861e-06
800	 3.2439e+02	3.7812e+03	3.4357e-01	2.2861e-06
825	 3.3014e+02	1.1317e+04	3.6119e-01	2.2861e-06
850	 3.3164e+02	5.3431e+03	4.1365e-01	2.2861e-06
875	 3.3796e+02	3.3107e+03	3.5091e-01	2.2861e-06
900	 3.4033e+02	3.2785e+03	3.7345e-01	2.2861e-06
925	 3.3993e+02	4.7786e+03	3.4062e-01	2.2861e-06
950	 3.3681e+02	3.0126e+03	3.2462e-01	2.2861e-06
975	 3.3452e+02	2.8972e+03	2.9320e-01	2.2861e-06
1000	 3.3367e+02	2.8418e+03	2.6124e-01	2.2861e-06
1025	 3.2735e+02	2.7351e+03	2.6670e-01	2.2861e-06
1050	 3.2401e+02	1.1600e+04	2.4170e-01	2.2861e-06
1075	 3.2345e+02	5.9390e+03	2.6212e-01	2.2861e-06
1100	 3.2041e+02	5.2385e+03	2.4482e-01	2.2861e-06
1125	 3.2067e+02	2.6137e+03	2.4176e-01	2.2861e-06
1150	 3.1622e+02	3.9332e+03	2.4436e-01	2.2861e-06
1175	 3.1624e+02	2.5821e+03	2.3284e-01	2.2861e-06
1200	 3.1323e+02	2.5698e+03	2.4847e-01	2.2861e-06
1225	 3.1176e+02	2.5567e+03	2.2887e-01	2.2861e-06
1250	 3.1292e+02	2.5640e+03	2.3730e-01	2.2861e-06
1275	 3.0958e+02	2.5388e+03	2.2507e-01	2.2861e-06
1300	 3.0920e+02	4.6514e+03	2.2592e-01	2.2861e-06
1325	 3.0948e+02	2.4989e+03	2.2253e-01	2.2861e-06
1350	 3.0533e+02	9.7472e+03	2.2655e-01	2.2861e-06
1375	 3.0707e+02	5.5693e+03	2.2327e-01	2.2861e-06
1400	 3.0497e+02	2.4278e+03	2.1580e-01	2.2861e-06
1425	 3.0428e+02	2.4069e+03	2.2642e-01	2.2861e-06
1450	 3.0187e+02	9.3907e+03	2.2556e-01	2.2861e-06
